,Pearson_Raw,VIF_Raw,Lasso_Raw,RF_Raw,Pearson_Score,Lasso_Score,RF_Score,VIF_Score,Total_Score
年龄,0.2513163067085467,1.6609517156866944,1.4920424798326193,0.08209471304422236,100.0,99.99999999999999,100.0,72.65177926023959,93.1629448150599
甘油三酯,0.21529690007639823,2.8590848664556567,1.3208196103172238,0.06773570839244632,85.47419630927351,88.52426309372882,81.85844743675824,42.1091852489462,74.4915230221767
尿素,0.1361426694411923,1.2513312685436349,0.4756834964513352,0.04538910983491268,53.553103681632166,31.88136416227897,53.62515396185047,96.50995381721286,58.89239390574362
尿酸,0.055483675474587144,1.9943940482756042,1.1617893834687565,0.04836273944368454,21.025174384632717,77.86570417211503,57.38211756478895,60.46643937884172,54.184858875094605
*碱性磷酸酶,0.1503571868009899,1.2077600949300857,0.3036962966482795,0.028635845241527135,59.285493746674376,20.354400142973734,32.45862901130607,100.00000000000001,53.024630725238545
白细胞计数,0.0891007732384577,1.514736959115283,0.409202364728889,0.03498143529936233,34.58218179891108,27.425651096394667,40.47581811116214,79.68706700287704,45.542679502336235
红细胞体积分布宽度,0.07890617058175999,1.9819584734899989,0.8138079411236294,0.02861690991450884,30.470931482977797,54.54321523170869,32.43470561001641,60.84728172534291,44.574033512511456
*r-谷氨酰基转换酶,0.13854597249821415,1.930431668987963,0.1970047438211397,0.039624940729335,54.522300891684594,13.20369536953399,46.342547726374576,62.47758767902258,44.136532916653934
*丙氨酸氨基转换酶,0.12798989297765967,4.639490266431132,0.7263475485304738,0.025697900047300545,50.26527521590859,48.681425518927384,28.746750057189793,25.860939569998614,38.388597590506095
*天门冬氨酸氨基转换酶,0.11679735041232014,4.294732760315969,0.16667578919921597,0.047706947319758726,45.751578536654755,11.170981486928845,56.5535721624244,27.955496680926124,35.35790721673354
红细胞平均血红蛋白浓度,0.13816447686411432,64.34945024938992,0.6347974020791153,0.03641229081453241,54.36845241920983,42.54553142148662,42.28359944199774,1.6497259171568992,35.21182729996278
肌酐,0.10471944181313456,2.141040570993547,0.04205926125621653,0.029746824409298846,40.880833965595656,2.81890507976253,33.86226996397504,56.30904913992184,33.46776453731377
红细胞平均体积,0.00541650751019242,177.07965071195588,1.16262482072722,0.04374795343383784,0.8342295245827485,77.92169703222162,51.55167283717397,0.4521262390773177,32.68993140826392
血小板体积分布宽度,0.04580064559951165,1.8646187458425563,0.24685681104514107,0.02139374570117878,17.120229682649523,16.544891608772023,23.308765725816567,64.69094529920946,30.416208079111893
嗜碱细胞%,0.025301990307199495,1.4880497773006651,0.1202873429235826,0.018298974988547417,8.853590375098072,8.061924814438038,19.39874919500928,81.12035321134323,29.358654398972156
性别,0.14210282415994616,3.3935059170420048,0.3507996343372397,0.0029449015729036045,55.95669789669355,23.511370425364376,0.0,35.44122828917485,28.727324152808194
低密度脂蛋白胆固醇,0.15692235200326396,31.58147265891779,0.314329840721832,0.021401576025185564,61.93307486591209,21.067083878006894,23.31865876770918,3.6016247681938585,27.480110569955507
红细胞计数,0.12340382751644378,95.02905599393297,0.0,0.03252843143684206,48.41581980197665,0.0,37.376627074669074,1.0423837885665619,21.70870766630307
高密度脂蛋白胆固醇,0.0794726039905131,6.1954418901315975,0.056957971112694517,0.027933278445315124,30.69936113434449,3.81744969614298,31.570987230293618,19.307965894581272,21.34894098884059
血红蛋白,0.14989136202352682,522.9272218927443,0.0,0.022574965763673783,59.09763725750985,0.0,24.801150913522335,0.0,20.974697042758045
总胆固醇,0.1431114262548386,38.46247905702882,0.0,0.020638754515245713,56.3634440761097,0.0,22.354889561238902,2.915872582749615,20.408551555024555
红细胞压积,0.12339533838489827,494.2404774191143,0.0658065924330463,0.021965999687832968,48.41239632919171,4.410503944929814,24.031766799371304,0.013436513508135711,19.21702589675024
血小板计数,0.07639821329134404,67.63251778574583,0.16334256688794618,0.018184437297054424,29.45952961183222,10.947581526383237,19.25403919587745,1.5584062522252105,15.30488914657953
中性粒细胞%,0.04667993641004738,220.69249526054597,0.1889568337448677,0.021768598516899326,17.47482757570593,12.664306566262463,23.782364852273588,0.3170300554392778,13.559632262420315
*总蛋白,0.03916903610043909,112.83897165106174,0.1528903301576647,0.022079357067002547,14.445853096692442,10.247049412079493,24.174985560177394,0.8413212242934764,12.427302323310702
血小板平均体积,0.028369561841887426,11.270710190402104,0.03584231632798844,0.023428749989113457,10.090671884385547,2.4022316262744283,25.879844860568635,10.509229144091142,12.220494378829937
红细胞平均血红蛋白量,0.06575418036843969,289.0961780457299,0.0,0.02143134031757581,25.167034338527493,0.0,23.356263775019944,0.18724207996247927,12.177635048377478
*球蛋白,0.04150206993586149,132.7040224114738,0.2031627334541926,0.01787250682125358,15.386712335248617,13.61641750823233,18.85993784553642,0.6807264677085634,12.135948539181483
淋巴细胞%,0.05267677857708999,191.28729832893748,0.05475652485430172,0.02004867055595611,19.893217000394124,3.6699038797102093,21.609361620842694,0.40135096504524553,11.393458366498068
嗜酸细胞%,0.0047698434629827886,11.413423543428316,0.1132013912692191,0.023283763911918522,0.5734446899088215,7.587008600580748,25.69666555224208,10.37492720527153,11.058011512000796
血小板比积,0.06661662392607806,62.18739690404503,0.0,0.014814688424209356,25.514838119431687,0.0,14.996607863819063,1.7151298818117047,10.556643966265614
单核细胞%,0.003347881697104133,9.740263179109185,0.0,0.023864228976139507,0.0,0.0,26.43004072197489,12.19687459204144,9.656728828504082
白蛋白,0.006102433550695151,48.2025076190975,0.0,0.028226561167352525,1.1108478240582076,0.0,31.941528507127458,2.2799002615924806,8.833069148194536
白球比例,0.028988240811267895,44.79775950685637,0.0,0.016563150894072204,10.34017097659937,0.0,17.205662361057417,2.4707730204583265,7.504151589528778
