Feature,Pearson_Corr,Pearson_Abs,VIF,Lasso_Coef,Lasso_Abs,RF_Importance,Final_Score
年龄,0.25131630670854666,0.25131630670854666,1.6982604371431986,0.3322571508999445,0.3322571508999445,0.08142515686093066,3.7112567025116796
甘油三酯,0.23009879400105865,0.23009879400105865,2.802388908390731,0.24607474603585094,0.24607474603585094,0.07337173688985753,2.9830219815747974
尿素,0.14953624974779892,0.14953624974779892,1.2758955308703843,0.10579848750180018,0.10579848750180018,0.04702581771697076,2.419122723218224
*碱性磷酸酶,0.1588335267955066,0.1588335267955066,1.2090329393231167,0.06619831632799468,0.06619831632799468,0.03402932112854259,2.225282740042628
尿酸,0.05734989318415796,0.05734989318415796,1.9898333723495567,-0.24011080260030923,0.24011080260030923,0.04733750171474888,2.1144370352393564
白细胞计数,0.08992625441074138,0.08992625441074138,1.5147792437043277,0.07777558287243852,0.07777558287243852,0.034286994521480235,1.7829465456713094
性别,0.14223617531300944,0.14223617531300944,3.508976516999867,0.2896197462722067,0.2896197462722067,0.0025188386179390136,1.7744195893955879
*r-谷氨酰基转换酶,0.14238195128727185,0.14238195128727185,1.8767705213978125,0.043012729907839664,0.043012729907839664,0.037026405763448886,1.7704633389020592
红细胞体积分布宽度,-0.07932610669983892,0.07932610669983892,1.9811537332627096,-0.12609742490143494,0.12609742490143494,0.027876625693936615,1.6160289172137463
*天门冬氨酸氨基转换酶,0.10967879904410041,0.10967879904410041,4.040226800355218,-0.046415137044197335,0.046415137044197335,0.05300504150622924,1.5054425879163178
*丙氨酸氨基转换酶,0.12245620320663916,0.12245620320663916,4.581211936973189,0.11208311366268699,0.11208311366268699,0.027494692772762258,1.395940395620634
肌酐,0.11372372508667888,0.11372372508667888,2.3018133783830903,0.0,0.0,0.027493548062018522,1.2852867060232942
红细胞平均体积,-0.004443322841678473,0.004443322841678473,177.48202469110097,-0.1878467336744999,0.1878467336744999,0.057928959737869906,1.2756287254807415
红细胞平均血红蛋白浓度,0.13873415311449855,0.13873415311449855,64.63989127815307,0.11202685097489619,0.11202685097489619,0.02879455488665986,1.2321732686757092
血小板体积分布宽度,0.04447160280028092,0.04447160280028092,1.8607753077627076,0.054185920482029616,0.054185920482029616,0.020109650885806594,1.2000479368208306
嗜碱细胞%,0.02488234346969549,0.02488234346969549,1.4868668736255495,0.022289331407803238,0.022289331407803238,0.01836921434189231,1.1666946427843052
低密度脂蛋白胆固醇,0.15765173866497087,0.15765173866497087,31.312287177606176,0.040872058625367295,0.040872058625367295,0.02360645194650455,1.0485800345804606
高密度脂蛋白胆固醇,-0.08791347201931604,0.08791347201931604,6.037733828305081,0.008356983921806388,0.008356983921806388,0.025723967596183176,0.8580730085490338
血红蛋白,0.15120430787435965,0.15120430787435965,522.8894982326319,0.0,0.0,0.021174362465510924,0.8323359080300318
红细胞计数,0.12424082214859213,0.12424082214859213,94.98481602927782,0.0,0.0,0.028594281700489013,0.8279761255111646
总胆固醇,0.14232782958078288,0.14232782958078288,38.12061341579037,0.0,0.0,0.018961502955736242,0.7979348287727142
红细胞压积,0.1247679880785388,0.1247679880785388,494.2367094747943,-0.002251379985832225,0.002251379985832225,0.021324239003473848,0.7344386063090083
血小板计数,-0.07677011947149179,0.07677011947149179,75.88675877648056,-0.03544285246699808,0.03544285246699808,0.018590181600070796,0.6194654331439862
*总蛋白,0.040626320747690715,0.040626320747690715,94.63204989074345,0.030791691559069773,0.030791691559069773,0.022688801770700918,0.5083561848852265
淋巴细胞%,-0.053230680696617565,0.053230680696617565,190.80809144039836,-0.03244267326889184,0.03244267326889184,0.018494099618383508,0.5045859665409057
红细胞平均血红蛋白量,0.06676881183527492,0.06676881183527492,290.08875394241085,0.0,0.0,0.021783717590240396,0.501104345256295
*球蛋白,0.0444302552067022,0.0444302552067022,121.02127246128131,0.03747730963451261,0.03747730963451261,0.019285959974235094,0.49791470002536287
中性粒细胞%,0.04720394106733659,0.04720394106733659,220.00907562287074,0.01591934442536465,0.01591934442536465,0.02092566066481063,0.46050203881074336
血小板比积,-0.0668701208886645,0.0668701208886645,69.4706607200343,0.0,0.0,0.014336504107039667,0.4203991970816291
血小板平均体积,0.026636852952568228,0.026636852952568228,12.367534214090742,0.0026893892742772176,0.0026893892742772176,0.019988801519731127,0.41827098344231134
嗜酸细胞%,0.00445428387927806,0.00445428387927806,11.351597434292973,-0.02732771077543676,0.02732771077543676,0.01951793507855716,0.4056900159282943
单核细胞%,0.003665465624629721,0.003665465624629721,9.721726892266375,0.0,0.0,0.021237606774426095,0.35994886527949477
白蛋白,0.0035697218130090135,0.0035697218130090135,41.57659753985866,-0.0,0.0,0.027687391660385207,0.3457969964146355
白球比例,-0.031627902579587766,0.031627902579587766,45.5188492401999,0.0,0.0,0.01798447287242779,0.3335586326455302
