Model,MAPE(%),PMSE(MSE),MAE,RMSE,R2
LGBM,11.109948525318883,1.5061046357657535,0.6865462314938299,1.2272345479841062,0.17521155131248134
Stacking,10.743276851007636,1.5091863290769065,0.669840503449629,1.228489450128452,0.17352392285355667
CatBoost,10.889163382262348,1.5152790407509351,0.677591044412536,1.230966709846751,0.17018736967485448
XGB,11.075599972591919,1.5326890737273442,0.6861958124998967,1.2380182041179137,0.16065310907355834
RF,10.974155288540906,1.559053470801459,0.6817516474455664,1.2486206272529135,0.14621516787946265
