,precision,recall,f1-score,support
低风险(0),0.9699769053117783,0.425531914893617,0.5915492957746479,987.0
中风险(1),0.0425531914893617,0.02531645569620253,0.031746031746031744,79.0
高风险(2),0.15263908701854492,0.9304347826086956,0.2622549019607843,115.0
accuracy,0.4479254868755292,0.4479254868755292,0.4479254868755292,0.4479254868755292
macro avg,0.38838972793989496,0.4604277177328384,0.29518340982715463,1181.0
weighted avg,0.8283508913442146,0.4479254868755292,0.5220375996299781,1181.0
